Community health worker designation,Gender,What is your current age (in years)?,How long have you worked in this village/Area (In years),What is your marital status,Do you have children?,Highest level of education completed,What type of initial training did you receive to serve as a community health worker?,Other (please specify),An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,What do you remember most clearly from your training?,Other (please specify),"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Do you receive regular refresher or continuous professional training training?,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Other (please specify),Which training topic was most clearly presented? (Select all that applies),Other (please specify),Were you certified after training?,Does having CHP certification influence motivation or performance?,How would you rate the quality of the main training provided to you as a CHP?,Household visits,Health promotion and education,MNCH support,Disease surveillance,Basic NCD screening,Referrals and follow-up,Community mobilization,WASH promotion,Distribution of LLTNs,Defaulter Tracing,How clear are you about the services you are officially expected to provide in your role?,Are you routinely assigned tasks that you believe fall outside your official scheme of service?,How would you rate the overall quality of community health services delivered?,Community health services are consistent across villages/households?,How often do you receive supportive supervision?,Who provides/Supposed to provide supervision: CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,I don't know,Other (please specify),How adequate is the supervision provided?,"Do you have the tools and commodities they need to perform their roles (job aids, reporting tools, referral slips, kits)?",What challenges affect the quality of community health service delivery? (open ended),How are you being engaged as a CHP?,Do you receive a stipend?,"Source of stipends : Yes, from national government","Yes, from county government","Yes, from partners",None,"If yes, how adequate is the remuneration?",Non-financial incentives : None of the above,Uniforms/Badges,Phone,Airtime,Fare/Transport support/means of transport,Recognition events,Training opportunities,Other (please specify),Does partner funding support community health operations?,"Are you involved in income-generating groups (CHW IGAs, savings groups, cooperatives)?","If yes, which income-generating activities (IGAs) are you involved in?",How effective are these IGAs in supporting CHW motivation and retention?,Inadequate and Unpredictable Funding for Community Health Programs,Insufficient Remuneration and Incentives for Community Health Workers (CHWs),"Limited Financing for Commodities, Supplies, and Logistics","Weak Funding for Supervision, Training, and Data Systems",Poor Integration of Community Health into Broader Health Financing Frameworks,What data collection tools do CHPs use? ,Activity reporting forms,Digital tools (eCHIS),Partner tools,Other (please specify),Are the tools adequate for the work required?,How frequently do you submit reports?,How would you rate data accuracy and completeness?,In your opinion is community-level data used for decision-making?,Who uses the data? : CHPs,CHEWs/CHAs,Facility staff,County HR and Planning,Partners,National programs,Do you receive feedback on the reports you generate?,Who gives you feedback on the reports you generate?,Other (please specify),Is community-level data integrated into KHIS/DHIS2?,Do you know that Kenya is in the process of locally manufacturing vaccines?,Would you be willing to be vaccinated with a locally manufactured vaccine?,Would you be willing to recommend/encourage mothers to get the locally manufactured vaccine.,How would they feel the local community will respond to locally made vaccines?,Any thoughts on what Government can do to improve the uptake of locally made medicines and vaccines? : Community sensitization and engagement to build public confidence in locally manufactured medicines and vaccines,Robust regulatory oversight is essential to ensure that locally produced medicines meet international quality standards,Assure and Communicate Product Quality,Ensure Competitive Pricing and Affordability,Reduce Overreliance on Imports and Build Resilience,"Communicate the contribution of local pharmaceutical production to job creation, innovation, and broader industrial growth",Local manufacturing strengthens resilience against global shocks and supports timely access to essential medicines and vaccines.
Community health promoter (CHP),Male,35 - 39,Above 10 years,Married,Yes,Secondary,Other (please specify),Both 1.Standardized government curriculum. 2. NGO-LED training ,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Always,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",Non communicable diseases (NCDs),Mental Health,WASH,Data management and digital reporting,Community engagement,Safety skills ,Other (please specify),All,Yes,Extremely,Very high quality,1,2,3,7,9,4,8,6,10,5,Very clear,"Yes, frequently",Excellent,Strongly agree,Weekly,CHEWs/CHAs,Facility - in - charges,Community health focal persons,Partner staff,,"Pho, Nurces, Sub County officials, County officials and National government Teams",Very adequate,Sometimes,"Several challenges can affect the quality of community health service delivery.    1. Limited Resources â€“ Many community health programs face shortages of essential medicines, equipment, and medical supplies, which directly impacts service delivery.  2. Staff Shortages and Training Gaps â€“ Insufficient numbers of trained community health workers or high turnover rates can reduce service quality. Lack of ongoing training may lead to outdated practices or errors in patient care.  3. Inadequate Infrastructure â€“ Poor transport systems, lack of reliable health facilities, and limited access to clean water or electricity can hinder effective service delivery, especially in remote areas.  4. Funding Constraints â€“ Limited budgets can affect the availability of services, outreach programs, and follow-up care, forcing communities to prioritize some services over others.  5. Community Awareness and Participation â€“ Low health literacy or cultural beliefs may discourage community members from seeking care or following medical advice, reducing the effectiveness of interventions.  6. Data and Monitoring Issues â€“ Weak health information systems or poor record-keeping can result in gaps in monitoring, planning, and evaluation of services, affecting quality and accountability.  7. Geographical Barriers â€“ Remote or hard-to-reach areas may face irregular or delayed service delivery, limiting timely access to care.  8. Policy and Governance Gaps â€“ Inconsistent policies, lack of supervision, or poor coordination between government, NGOs, and community health teams can create confusion and inefficiencies.  9. Social and Economic Challenges â€“ Poverty, unemployment, and social inequalities can reduce access to services and affect adherence to health advice.  10. Safety and Security Concerns â€“ In areas with political unrest or unsafe conditions, community health workers may be unable to operate freely, affecting service continuity.",Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,Uniforms/Badges,Phone,,,,Training opportunities,"On training opportunity....... 1. Skill Enhancement â€“ Training partners can provide updated knowledge and practical skills to community health workers, improving the quality of care they provide.  2. Specialized Expertise â€“ Partners can offer specialized training in areas like maternal health, infectious diseases, nutrition, or data management that may not be covered by existing programs.  3. Capacity Building â€“ More training opportunities help build the capacity of both individuals and teams, enabling them to handle complex health issues more effectively.  4. Standardization of Practices â€“ Training partners can ensure that all community health workers follow best practices and consistent protocols, which improves service quality.  5. Networking and Collaboration â€“ Training sessions often bring together different stakeholders, creating opportunities for collaboration, resource sharing, and peer learning.  6. Motivation and Retention â€“ Regular training opportunities show investment in health workersâ€™ development, which can boost morale, motivation, and retention in the field.  7. Innovation and Problem-Solving â€“ Partners can introduce new technologies, approaches, and methods for community health interventions, making services more efficient and effective.","Yes, Partially",No,,,3,1,2,4,5,MOH registers,Activity reporting forms,Digital tools (eCHIS),Partner tools,,Yes,Weekly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,0 - 2,Married,Yes,Tertiary (Undergraduate),On-the-job orientation only,,,,,,,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,,,,,,"HIV, TB and Malaria",,Usually,,"HIV, TB and Malaria",,Mental Health,,,Community engagement,Counselling and psychoeducation,Other (please specify),Counselling/psychotherapy,Yes,Slightly,High quality,3,4,1,2,5,6,7,8,9,10,Very clear,"Yes, occasionally",Fair,Strongly agree,Rarely,CHEWs/CHAs,,,,,,Very Inadequate,Rarely,Lack of resources,Volunteer,"Yes, i receive but not regularly",,,"Yes, from partners",,Very Inadequate,,Uniforms/Badges,,,Fare/Transport support/means of transport,,Training opportunities,,"Yes, Partially",No,,,1,2,3,5,4,MOH registers,,,,,Partially,Monthly,Fair,Rarely,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,03-Apr,Married,Yes,Tertiary (Certificate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,05-Jun,Married,Yes,Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",,Basic Health Care and Lifesaving Skills,,Basic Health Care and Lifesaving Skills,,"Water, Sanitation and Hygiene",,,Maternal and Newborn Health,,,Non communicable Diseases,Sometimes,,,Non communicable diseases (NCDs),Mental Health,,Data management and digital reporting,Community engagement,,Mental Health,,Yes,Moderately,High quality,3,1,10,2,5,8,4,7,6,9,Extremely clear,"Yes, occasionally",Good,Agree,Rarely,,,Community health focal persons,,,,Adequate,Always,Lack of batteries in BP machines and sometimes we don't have finances to buy them.,Formal contract from the government,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Inadequate,,,Phone,,,Recognition events,Training opportunities,,None,No,,,4,2,3,1,5,MOH registers,,,,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,,Data management and digital reporting,,,Data management and digital reporting,,Yes,Considerably,Very high quality,1,2,4,6,7,8,9,3,5,10,Extremely clear,"Yes, occasionally",Good,Neither agree nor disagree,Monthly,CHEWs/CHAs,,,,,,Adequate,Usually,Patient ignorance ,Formal contract from partners,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government","Yes, from partners",,Very Inadequate,,,Phone,,Fare/Transport support/means of transport,,,,Minimal,Yes,Table banking ,Extremely effective,2,1,3,5,4,MOH registers,,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,07-Aug,Married,Yes,Secondary,NGO-led training,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",,,,Data management and digital reporting,,Gender based violence ,"HIV, TB and Malaria",,Yes,Extremely,High quality,2,4,3,6,7,1,8,9,5,10,Extremely clear,Never,Poor,Strongly agree,Rarely,CHEWs/CHAs,,,,,,Inadequate,Rarely,"Lack of medicine, lack of tools like nets, eCHIS system issues, stipend delays ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,,,,,,Reflector,None,No,,,2,1,3,4,5,MOH registers,,Digital tools (eCHIS),,100,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,30 - 34,07-Aug,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,,,,,,"HIV, TB and Malaria",,Yes,Considerably,High quality,1,5,3,7,9,2,10,8,6,4,Extremely clear,Never,Good,Neither agree nor disagree,Rarely,CHEWs/CHAs,,,,,,Very Inadequate,Always,"Medicine not available, referral challenges, lack of supportive supervision ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,None of the above,,,,,,,,None,No,,,3,2,4,1,5,MOH registers,,Digital tools (eCHIS),,,Partially,Monthly,Fair,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Single,Yes,Secondary,On-the-job orientation only,,,,"Communication, Advocacy and Social Mobilization",,,,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",,,,Data management and digital reporting,,,"HIV, TB and Malaria",,Yes,Considerably,High quality,1,7,2,8,9,5,6,3,10,4,Very clear,Never,Fair,Agree,Rarely,,,,,,Other CHPs,Inadequate,Sometimes,"Transport to reach the communities, inconsistent stipends ",Word of mouth,"Yes, i receive regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,Phone,,,,,,None,No,,,1,3,4,5,2,,,Digital tools (eCHIS),,,Yes,Monthly,Good,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,25 - 29,0 - 2,Single,No,Tertiary (Undergraduate),Standardized government curriculum,,,,,,Basic Health Care and Lifesaving Skills,,Management and Use of Community Health Information and Disease Surveillance.,,,,,,,,Non communicable Diseases,Never,"Maternal, Neonatal and child health (MNCH)",,,,,,,,"HIV, TB and Malaria",,No,Considerably,Very high quality,3,4,5,2,1,6,7,8,9,10,Very clear,"Yes, frequently",Fair,Strongly agree,Rarely,,,,Partner staff,,,Adequate,Sometimes,Language barrier ,Volunteer,"Yes, i receive regularly",,,"Yes, from partners",,Adequate,,,,,,Recognition events,,,None,No,,,4,5,2,1,3,MOH registers,,,,,Partially,Monthly,Fair,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Primary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,,Data management and digital reporting,,,"Maternal, Neonatal and child health (MNCH)",,Yes,Extremely,High quality,2,3,1,5,7,6,8,4,9,10,Extremely clear,Rarely,Good,Agree,Rarely,CHEWs/CHAs,,,,,,Inadequate,Sometimes,"Lack of medicines; weather , no gumboots ",Formal contract from partners,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,None of the above,,,,,,,,Minimal,No,,,3,2,1,4,5,MOH registers,,Digital tools (eCHIS),,Moh 100,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Secondary,NGO-led training,,An introduction to the CHV training Course,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,,"HIV, TB and Malaria",,,,Data management and digital reporting,,,"HIV, TB and Malaria",,Yes,Extremely,Very high quality,1,3,2,7,6,4,8,9,10,5,Extremely clear,Never,Excellent,Agree,Weekly,CHEWs/CHAs,,Community health focal persons,,,Other health care workers like nurses,Adequate,Usually,"Bus fare, inaccessible roads during rainy season",Word of mouth,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,Phone,,,,,,None,No,,,3,1,4,5,2,MOH registers,,Digital tools (eCHIS),,"MoH 100 for referrals, Notebooks",Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Tertiary (Certificate),NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)",,,,,Data management and digital reporting,,,Data management and digital reporting,,Yes,Extremely,Very high quality,1,3,2,8,9,5,6,10,4,7,Extremely clear,Never,Good,Strongly disagree,Rarely,CHEWs/CHAs,,,,,,Neutral,Sometimes,"Weather, lavk of gumboots, umbrellas, clients forget referrals, communication barriers ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,,,,,,"Tshirt, reflectors",None,Yes,Entrepreneurship ,Extremely effective,2,1,3,4,5,MOH registers,,Digital tools (eCHIS),,Moh 648 514,Yes,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,25 - 29,0 - 2,Single,Yes,Secondary,On-the-job orientation only,,,,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,Management and Use of Community Health Information and Disease Surveillance.,,"Water, Sanitation and Hygiene",,,,,,Non communicable Diseases,Rarely,,,Non communicable diseases (NCDs),,,,,,Non communicable diseases (NCDs),,Yes,Slightly,Neither high nor low quality,1,2,3,4,6,7,5,8,9,10,Very clear,Rarely,Good,Agree,Weekly,CHEWs/CHAs,,,,,,Neutral,Always,Ignorance from the community people and poor infrastructure hence leading to poor delivery of services,Volunteer,"No, i do not receive",,,,,,None of the above,,,,,,,,None,No,,,2,1,3,4,5,,,Digital tools (eCHIS),,,No,Monthly,Fair,Occasionally,,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,Above 44,Above 10 years,Married,Yes,Primary,NGO-led training,,,,,Best Practices for Health Promotion and Disease Prevention,,,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,,"HIV, TB and Malaria",,Mental Health,,,,,"HIV, TB and Malaria",,Yes,Extremely,Very high quality,1,6,2,9,3,7,5,8,10,4,Extremely clear,Rarely,Good,Agree,Monthly,CHEWs/CHAs,,Community health focal persons,,,,Adequate,Sometimes,"Transport to reach the communities, inaccessible roads, inconsistent stipends , gumboots and raincoats",Word of mouth,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,Phone,,,,,,None,No,,,1,3,4,5,2,,Activity reporting forms,Digital tools (eCHIS),,,Yes,Monthly,Good,"Yes, regularly",CHPs,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Female,40 - 44,Above 10 years,Married,Yes,Secondary,Standardized government curriculum,,An introduction to the CHV training Course,Community Governance and Leadership,"Communication, Advocacy and Social Mobilization",Best Practices for Health Promotion and Disease Prevention,,Management and Use of Community Health Information and Disease Surveillance.,"Communication, Advocacy and Social Mobilization",,"Water, Sanitation and Hygiene",Community Nutrition,Integrated Community Case Management,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Rarely,"Maternal, Neonatal and child health (MNCH)",,,,WASH,,Community engagement,Gender based violence ,WASH,,Yes,Considerably,Very high quality,1,2,6,3,10,8,4,5,7,9,Extremely clear,"Yes, occasionally",Good,Agree,Quarterly,CHEWs/CHAs,,,,,,Neutral,Rarely,"Few kits, weather, lack of gumboots, stipend inconsistency ",List of names issued for appointment,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Very Inadequate,,,,Airtime,,,,Reflector,None,No,,,3,2,1,4,5,MOH registers,,Digital tools (eCHIS),,"Moh 513,515 565",Partially,Monthly,Good,"Yes, regularly",,,,,,,,,,,,,,,,,,,,,
Community health promoter (CHP),Male,Above 44,07-Aug,Married,Yes,Primary,NGO-led training,,An introduction to the CHV training Course,Community Governance and Leadership,,,Basic Health Care and Lifesaving Skills,Management and Use of Community Health Information and Disease Surveillance.,Best Practices for Health Promotion and Disease Prevention,,"Water, Sanitation and Hygiene",Community Nutrition,,Maternal and Newborn Health,Family Planning,"HIV, TB and Malaria",Non communicable Diseases,Sometimes,"Maternal, Neonatal and child health (MNCH)","HIV, TB and Malaria",,Mental Health,WASH,Data management and digital reporting,,,WASH,,Yes,Moderately,High quality,1,7,8,3,9,6,5,2,10,4,Somewhat clear,"Yes, occasionally",Good,Agree,Rarely,CHEWs/CHAs,,Community health focal persons,,,Some times officers from health office. ,Neutral,Sometimes,1: lack of good implementation in some areas. In some cases lack of support as chp in some of the work. ,Volunteer,"Yes, i receive but not regularly","Yes, from national government","Yes, from county government",,,Adequate,,,Phone,,,,Training opportunities,,None,Yes,Table banking ,Somewhat effective,1,5,2,3,4,MOH registers,Activity reporting forms,Digital tools (eCHIS),,,Partially,Monthly,Fair,Rarely,CHPs,,,,,,,,,,,,,,,,,,,,
